GEO_ID,GEO_NAME,Elektroautos_pro_Tanksäule
1,Zürich,16
9,Zug,14
23,Wallis,7
22,Waadt,12
4,Uri,3
21,Tessin,8
20,Thurgau,22
5,Schwyz,40
11,Solothurn,11
14,Schaffhausen,27
17,St. Gallen,2
6,Obwalden,16
7,Nidwalden,13
24,Neuenburg,8
3,Luzern,11
26,Jura,14
18,Graubünden,4
8,Glarus,7
25,Genf,8
10,Freiburg,14
12,Basel-Stadt,63
13,Basel-Landschaft,4
2,Bern,4
15,Appenzell Ausserrhoden,5
16,Appenzell Innerrhoden,36
19,Aargau,13
